,id,Фамилия1,Имя1,Очество1,Фамилия2,Имя2,Очество2,,,,,,,
,189,Галчевская,Карина,Владимировна,Белоновская,Анастасия,Семеновна,,,,Галчевская,Карина,Владимировна,ГалчевскаяКаринаВладимировна
17,206,Офицеров,Олег,Романович,Сапожник,Борис,Валерьевич,,,,Офицеров,Олег,Романович,ОфицеровОлегРоманович
239,445,Жандарова,Лариса,Германовна,Чемодуров,Дамир,Русланович,,,,Жандарова,Лариса,Германовна,ЖандароваЛарисаГермановна
58,503,Масимова,Яна,Дамировна,Мингажетдинов,Рамиль,Семенович,,,,Масимова,Яна,Дамировна,МасимоваЯнаДамировна
68,571,Мухтарова,Алена,Яковлевна,Щербатенко,Ольга,Робертовна,,,,Мухтарова,Алена,Яковлевна,МухтароваАленаЯковлевна
24,595,Русских,Кира,Константиновна,Федутинов,Артем,Артурович,,,,Русских,Кира,Константиновна,РусскихКираКонстантиновна
42,637,Федонкина,Кристина,Маратовна,Маргиев,Григорий,Иванович,,,,Федонкина,Кристина,Маратовна,ФедонкинаКристинаМаратовна
104,741,Чернолусская,Екатерина,Марселевна,Бухановская,Лидия,Радиковна,,,,Чернолусская,Екатерина,Марселевна,ЧернолусскаяЕкатеринаМарселевна
255,996,Оранский,Владимир,Артурович,Скотников,Виктор,Ильич,,,,Оранский,Владимир,Артурович,ОранскийВладимирАртурович
214,1210,Ардатов,Андрей,Анатольевич,Ханыгин,Дмитрий,Юрьевич,,,,Ардатов,Андрей,Анатольевич,АрдатовАндрейАнатольевич
182,1392,Рифтин,Кирилл,Анатольевич,Гальчевская,Полина,Васильевна,,,,Рифтин,Кирилл,Анатольевич,РифтинКириллАнатольевич
151,1543,Балог,Вадим,Никитович,Абушаева,Екатерина,Юрьевна,,,,Балог,Вадим,Никитович,БалогВадимНикитович
136,1679,Голиборода,Жанна,Александровна,Бычек,Виктор,Рамилевич,,,,Голиборода,Жанна,Александровна,ГолибородаЖаннаАлександровна
224,1903,Слободяникова,Галина,Германовна,Васюхнов,Глеб,Леонидович,,,,Слободяникова,Галина,Германовна,СлободяниковаГалинаГермановна
32,1935,Вахрушкова,Екатерина,Маратовна,Лифенко,Марсель,Константинович,,,,Вахрушкова,Екатерина,Маратовна,ВахрушковаЕкатеринаМаратовна
77,2012,Сероштанов,Александр,Евгеньевич,Оконишников,Ефим,Викторович,,,,Сероштанов,Александр,Евгеньевич,СероштановАлександрЕвгеньевич
41,2053,Канева,Наталья,Робертовна,Оверчук,Вячеслав,Викторович,,,,Канева,Наталья,Робертовна,КаневаНатальяРобертовна
75,2128,Маркидонов,Юрий,Антонович,Сайденова,Кира,Ильдаровна,,,,Маркидонов,Юрий,Антонович,МаркидоновЮрийАнтонович
535,2663,Гаглоева,Диана,Германовна,Парчевская,Элина,Валентиновна,,,,Гаглоева,Диана,Германовна,ГаглоеваДианаГермановна
16,2679,Скулкин,Глеб,Альбертович,Ленивцева,Кристина,Ивановна,,,,Скулкин,Глеб,Альбертович,СкулкинГлебАльбертович
524,3203,Малявкин,Роберт,Григорьевич,Ефремушкин,Роман,Глебович,,,,Малявкин,Роберт,Григорьевич,МалявкинРобертГригорьевич
108,3311,Коровенко,Наталья,Валерьевна,Бадалян,Семен,Георгиевич,,,,Коровенко,Наталья,Валерьевна,КоровенкоНатальяВалерьевна
918,4229,Приорова,Любовь,Борисовна,Рашева,Лариса,Владиславовна,,,,Приорова,Любовь,Борисовна,ПриороваЛюбовьБорисовна
14,4243,Ермошкин,Роберт,Ярославович,Зозулина,Кира,Валентиновна,,,,Ермошкин,Роберт,Ярославович,ЕрмошкинРобертЯрославович
292,4535,Хапланов,Артем,Максимович,Ивашечкин,Марсель,Вячеславович,,,,Хапланов,Артем,Максимович,ХаплановАртемМаксимович
28,4563,Кривозубенко,Рамиль,Артемович,Ознобишина,Алиса,Антоновна,,,,Кривозубенко,Рамиль,Артемович,КривозубенкоРамильАртемович
399,4962,Сушинский,Артур,Кириллович,Конарев,Владимир,Борисович,,,,Сушинский,Артур,Кириллович,СушинскийАртурКириллович
